iter	Logloss
0	0.6905383611
1	0.6862956164
2	0.684971565
33	0.68140954
44	0.68018626865	0.6755274109
66	0.674898118
7	0.6729753731
8	0.6705239138
9	0.6685155697
10	0.6666201237
11	0.6643153132
12	0.6618313751
13	0.6601187421
14	0.658016906
15	0.6561618579
16	0.6547021797
17	0.6527449995
18	0.6507281296
19	0.6490246513
20	0.6478186743
21	0.6463733037
22	0.6451687539
23	0.6432500598
24	0.6419964256
25	0.6408563958
26	0.6390414543
27	0.6374535105
28	0.6359514897
29	0.6341383608
30	0.6322580475
31	0.6314092319
32	0.6297824917
33	0.6286430412
34	0.6264491691
35	0.6253616726
36	0.624200557
37	0.6233642951
38	0.6217402607
39	0.6204997597
40	0.6195934153
41	0.6181225703
42	0.6168959164
43	0.6158910718
44	0.6143010421
45	0.6132227927
46	0.6121432004
47	0.6112961619
48	0.6098996343
49	0.6088161366
50	0.6080052433
51	0.6069492473
52	0.6055134508
53	0.6044038055
54	0.603536998
55	0.6027810502
56	0.6017188408
57	0.600376835
58	0.5995912578
59	0.5987920476
60	0.5979770466
61	0.5971270372
62	0.5958525044
63	0.5946346951
64	0.5937154759
65	0.5928591953
66	0.5919330654
67	0.5908998556
68	0.5898413805
69	0.5891888606
70	0.5885565039
71	0.5873630493
72	0.5865239176
73	0.5854895329
74	0.5849603942
75	0.584282295
76	0.5836316312
77	0.5829283554
78	0.581989306
79	0.5810868512
80	0.5802051794
81	0.5793229742
82	0.5786496138
83	0.5778486874
84	0.5771856099
85	0.5761326132
86	0.5752686773
87	0.5742983022
88	0.5737007488
89	0.573203315
90	0.5725919756
91	0.5720528008
92	0.5714218129
93	0.570749008
94	0.5697003199
95	0.5689263381
96	0.5684618481
97	0.5679310347
98	0.5672215396
99	0.5667453636
100	0.5661478617
101	0.5653557164
102	0.5649512819
103	0.5646612582
104	0.5641493526
105	0.5633378875
106	0.5624629569
107	0.5617791648
108	0.5612629346
109	0.5606498484
110	0.5597952144
111	0.559242485
112	0.5586619141
113	0.5582846381
114	0.5573293122
115	0.5566161668
116	0.5561186304
117	0.5554429156
118	0.5547644575
119	0.5542611681
120	0.5538620266
121	0.5532228218
122	0.5524737658
123	0.5518893146
124	0.551531079
125	0.550540109
126	0.5496835451
127	0.5493050065
128	0.5487976161
129	0.548227352
130	0.5476939705
131	0.547299376
132	0.5466255001
133	0.5462975062
134	0.5458726672
135	0.54541165
136	0.5444684136
137	0.5438807105
138	0.5431444661
139	0.5426218625
140	0.5422621439
141	0.5418677791
142	0.5413412474
143	0.5410255456
144	0.5403330476
145	0.5395823625
146	0.539180457
147	0.5385864028
148	0.5380476017
149	0.5373245836
150	0.5365010076
151	0.5360326993
152	0.5356791236
153	0.5351386047
154	0.5347713809
155	0.5336828049
156	0.5333682899
157	0.5330381579
158	0.5321525402
159	0.531798612
160	0.5313107118
161	0.530949582
162	0.5305820317
163	0.530043084
164	0.5292344619
165	0.5285175046
166	0.5278947569
167	0.5271774427
168	0.5265662644
169	0.5259278996
170	0.5255328386
171	0.5248627431
172	0.524358219
173	0.5239680607
174	0.5235064504
175	0.5229217679
176	0.522599972
177	0.5222970732
178	0.5217609634
179	0.5214447341
180	0.5211115135
181	0.5208303158
182	0.5202589732
183	0.5200132743
184	0.519480773
185	0.518928551
186	0.5183712582
187	0.5180458026
188	0.5174401449
189	0.5167402139
190	0.5165550514
191	0.5157568663
192	0.5149591558
193	0.5144278059
194	0.5139528608
195	0.5132834728
196	0.5127218001
197	0.5122271619
198	0.5117906091
199	0.511293072
200	0.510901152
201	0.5099085667
202	0.5094376758
203	0.5092583875
204	0.5085558988
205	0.5081388526
206	0.5073370926
207	0.5068697684
208	0.5065437745
209	0.5060500511
210	0.5056960747
211	0.5052967182
212	0.5048149995
213	0.5044383497
214	0.5038980107
215	0.5036558576
216	0.5033235915
217	0.5030088562
218	0.5028118967
219	0.502093421
220	0.5013668296
221	0.5007320975
222	0.5002617189
223	0.4998920351
224	0.499184161
225	0.4985751183
226	0.4982208507
227	0.4977916637
228	0.4974969433
229	0.4970121879
230	0.4966318079
231	0.4962345019
232	0.4957698714
233	0.4953140094
234	0.4950768858
235	0.4946194456
236	0.4942506079
237	0.4936171536
238	0.4932814939
239	0.4930775401
240	0.4928336782
241	0.4922143404
242	0.491605012
243	0.4911649408
244	0.4901169099
245	0.4897615473
246	0.4894832314
247	0.4887964511
248	0.4880823388
249	0.4877644395
250	0.4871302303
251	0.4867716711
252	0.4859066156
253	0.4857137225
254	0.4852177839
255	0.4847450702
256	0.4839659246
257	0.4834847605
258	0.4832202387
259	0.4829272092
260	0.4825284003
261	0.4820716538
262	0.4815877112
263	0.480962407
264	0.4805103681
265	0.4800874536
266	0.4797327321
267	0.4793345484
268	0.4788400201
269	0.4784456499
270	0.4782053953
271	0.477760277
272	0.4774315488
273	0.4768540468
274	0.4764573596
275	0.4758909579
276	0.475397271
277	0.4751046063
278	0.4746333617
279	0.4740583368
280	0.4736825766
281	0.4731983215
282	0.4730350996
283	0.4726549908
284	0.4723295704
285	0.4716874564
286	0.4712383829
287	0.4708440717
288	0.4704056653
289	0.4697775026
290	0.4691975744
291	0.4685838205
292	0.4680707728
293	0.4676850783
294	0.4672262688
295	0.4667765452
296	0.466177015
297	0.4658593677
298	0.4653095507
299	0.4647573187
300	0.4640993689
301	0.4635997167
302	0.463107595
303	0.4627012114
304	0.462340458
305	0.461680729
306	0.4610436906
307	0.4607664854
308	0.4603201254
309	0.4600173133
310	0.4597306268
311	0.4593972119
312	0.4590963337
313	0.4584673462
314	0.4580053754
315	0.4575970448
316	0.4570845458
317	0.456745321
318	0.4564197861
319	0.4562666852
320	0.4560612249
321	0.4554949365
322	0.4550059778
323	0.4548010607
324	0.4543753991
325	0.4542541721
326	0.453729462
327	0.4531814648
328	0.4528658989
329	0.4524622043
330	0.4517855112
331	0.4511995174
332	0.4509162941
333	0.4504937762
334	0.4500545893
335	0.4498701528
336	0.4493225406
337	0.4490729623
338	0.4487702502
339	0.4484942243
340	0.4476654437
341	0.4473454068
342	0.4466876745
343	0.4462828441
344	0.4459868919
345	0.4456851844
346	0.4450638949
347	0.4447449745
348	0.4444785309
349	0.4439478066
350	0.4435896928
351	0.4431798514
352	0.4429646082
353	0.4424420118
354	0.442234612
355	0.442012255
356	0.4417829694
357	0.4410400292
358	0.4406086836
359	0.440207432
360	0.4399484568
361	0.439711166
362	0.4392215383
363	0.4385932964
364	0.4382239573
365	0.4377050491
366	0.437351878
367	0.4367832604
368	0.4364518509
369	0.4363145098
370	0.4359439803
371	0.4355038318
372	0.4350475767
373	0.4346130543
374	0.4339467144
375	0.4335630329
376	0.4331426096
377	0.4325231704
378	0.4321667217
379	0.4318426957
380	0.4313774704
381	0.431118033
382	0.4307524095
383	0.4304586468
384	0.4300578983
385	0.4295641723
386	0.4292049364
387	0.4287746765
388	0.4286054628
389	0.4280638602
390	0.4273598559
391	0.42707736
