iter	Passed	Remaining
0	7	7071
1	11	5704
2	16	5382
3	20	5211
4	29	5851
5	34	5677
6	39	5603
7	44	5576
8	49	5502
9	58	5778
10	65	5869
11	72	5980
12	78	5948
13	84	5978
14	89	5867
15	93	5737
16	97	5641
17	101	5552
18	106	5501
19	112	5501
20	117	5457
21	121	5399
22	125	5344
23	129	5282
24	133	5220
25	142	5336
26	147	5322
27	152	5286
28	156	5247
29	160	5199
30	165	5171
31	170	5157
32	175	5129
33	179	5108
34	184	5094
35	189	5083
36	193	5046
37	198	5023
38	202	5001
39	207	4978
40	215	5031
41	221	5052
42	230	5135
43	236	5132
44	245	5206
45	253	5255
46	260	5272
47	265	5263
48	270	5259
49	278	5291
50	283	5271
51	288	5262
52	293	5247
53	298	5223
54	304	5224
55	309	5214
56	313	5191
57	319	5181
58	323	5163
59	327	5138
60	332	5118
61	336	5097
62	341	5076
63	346	5062
64	350	5041
65	355	5029
66	360	5023
67	365	5005
68	369	4988
69	374	4974
70	378	4957
71	384	4949
72	388	4939
73	393	4924
74	397	4904
75	401	4883
76	408	4898
77	414	4895
78	419	4888
79	424	4878
80	429	4870
81	434	4863
82	439	4856
83	444	4842
84	448	4829
85	452	4811
86	456	4792
87	460	4772
88	465	4761
89	469	4747
90	474	4738
91	478	4724
92	484	4724
93	488	4704
94	491	4686
95	498	4690
96	502	4678
97	507	4668
98	511	4656
99	515	4641
100	519	4624
101	523	4609
102	527	4592
103	531	4577
104	535	4562
105	539	4551
106	547	4566
107	551	4551
108	555	4540
109	559	4528
110	563	4516
111	568	4506
112	572	4492
113	576	4478
114	580	4468
115	585	4464
116	590	4455
117	594	4440
118	598	4428
119	602	4416
120	606	4402
121	610	4390
122	614	4380
123	618	4367
124	622	4354
125	625	4341
126	629	4329
127	633	4317
128	637	4305
129	642	4298
130	646	4286
131	650	4275
132	654	4265
133	658	4253
134	662	4243
135	666	4231
136	670	4221
137	676	4228
138	680	4217
139	685	4208
140	689	4198
141	692	4187
142	696	4176
143	700	4165
144	704	4155
145	708	4144
146	712	4133
147	716	4123
148	721	4122
149	725	4112
150	729	4102
151	733	4094
152	738	4090
153	743	4083
154	748	4078
155	752	4071
156	756	4061
157	760	4051
158	764	4045
159	769	4037
160	773	4028
161	777	4022
162	783	4021
163	787	4014
164	792	4008
165	796	4003
166	801	3999
167	806	3992
168	813	4000
169	820	4005
170	825	4001
171	830	3998
172	836	3997
173	841	3993
174	845	3986
175	850	3980
176	854	3974
177	861	3978
178	866	3974
179	871	3970
180	876	3965
181	882	3964
182	886	3959
183	891	3952
184	895	3946
185	901	3945
186	906	3940
187	912	3939
188	917	3939
189	923	3935
190	927	3930
191	932	3924
192	937	3919
193	943	3917
194	951	3927
195	958	3930
196	964	3929
197	968	3924
198	973	3918
199	978	3915
200	984	3912
201	988	3906
202	994	3905
203	999	3901
204	1005	3899
205	1010	3896
206	1015	3891
207	1021	3889
208	1027	3887
209	1031	3880
210	1036	3874
211	1041	3871
212	1046	3866
213	1050	3858
214	1055	3855
215	1060	3847
216	1064	3839
217	1068	3831
218	1072	3824
219	1076	3815
220	1080	3808
221	1087	3809
222	1091	3802
223	1095	3796
224	1100	3789
225	1103	3780
226	1107	3772
227	1111	3764
228	1115	3755
229	1119	3747
230	1123	3740
231	1129	3737
232	1133	3730
233	1137	3724
234	1142	3719
235	1146	3712
236	1151	3705
237	1155	3698
238	1159	3692
239	1163	3684
240	1167	3678
241	1176	3683
242	1185	3694
243	1192	3693
244	1198	3691
245	1203	3689
246	1209	3687
247	1216	3689
248	1224	3694
249	1232	3698
250	1236	3690
251	1241	3684
252	1245	3678
253	1250	3673
254	1254	3665
255	1261	3664
256	1265	3659
257	1270	3654
258	1275	3649
259	1280	3645
260	1285	3639
261	1290	3633
262	1295	3629
263	1305	3638
264	1311	3638
265	1316	3632
266	1322	3630
267	1328	3627
268	1332	3621
269	1337	3616
270	1342	3611
271	1346	3605
272	1351	3598
273	1355	3592
274	1362	3591
275	1366	3584
276	1371	3579
277	1375	3573
278	1380	3567
279	1385	3561
280	1389	3554
281	1393	3548
282	1398	3542
283	1403	3537
284	1407	3530
285	1411	3523
286	1416	3519
287	1423	3518
288	1431	3521
289	1438	3522
290	1446	3525
291	1454	3526
292	1463	3531
293	1470	3530
294	1478	3533
295	1484	3531
296	1490	3528
297	1496	3526
298	1505	3528
299	1514	3533
300	1520	3530
301	1526	3527
302	1531	3522
303	1537	3519
304	1541	3513
305	1547	3508
306	1552	3504
307	1557	3499
308	1563	3495
309	1567	3489
310	1572	3483
311	1586	3497
312	1617	3549
313	1627	3555
314	1647	3583
315	1657	3588
316	1698	3658
317	1710	3667
318	1721	3674
319	1734	3685
320	1745	3692
321	1755	3696
322	1762	3694
323	1771	3696
324	1776	3690
325	1783	3687
326	1789	3681
327	1794	3677
328	1800	3671
329	1805	3665
330	1809	3658
331	1814	3651
332	1819	3644
333	1824	3638
334	1830	3632
335	1838	3632
336	1842	3625
337	1847	3618
338	1851	3611
339	1856	3603
340	1860	3595
341	1864	3587
342	1868	3579
343	1872	3571
344	1876	3563
345	1880	3554
346	1884	3546
347	1889	3540
348	1896	3538
349	1901	3530
350	1905	3523
351	1909	3516
352	1913	3507
353	1917	3499
354	1922	3492
355	1926	3484
356	1930	3476
357	1934	3468
358	1938	3461
359	1942	3454
360	1948	3448
361	1952	3440
362	1955	3432
363	1959	3423
364	1963	3416
365	1967	3408
366	1971	3400
367	1975	3392
368	1983	3391
369	1989	3387
370	1994	3381
371	1998	3373
372	2002	3366
373	2007	3359
374	2011	3352
375	2016	3346
376	2020	3338
377	2024	3331
378	2028	3323
379	2032	3316
380	2037	3310
381	2042	3303
382	2046	3297
383	2051	3290
384	2056	3284
385	2060	3278
386	2065	3271
387	2070	3265
388	2074	3259
389	2079	3252
390	2084	3247
391	2089	3240
392	2094	3234
393	2099	3229
394	2104	3223
395	2110	3218
396	2121	3222
397	2126	3216
398	2131	3211
399	2140	3211
400	2151	3213
401	2160	3214
402	2167	3211
403	2173	3205
404	2179	3201
405	2186	3199
406	2194	3197
407	2201	3194
408	2207	3190
409	2212	3184
410	2217	3177
411	2221	3171
412	2225	3163
413	2229	3156
414	2234	3149
415	2239	3143
416	2243	3136
417	2247	3129
418	2257	3130
419	2263	3125
420	2267	3118
421	2272	3112
422	2277	3106
423	2281	3099
424	2285	3092
425	2289	3084
426	2294	3078
427	2299	3072
428	2303	3065
429	2307	3058
430	2311	3051
431	2315	3044
432	2319	3037
433	2324	3031
434	2328	3024
435	2332	3017
436	2337	3011
437	2341	3004
438	2345	2997
439	2349	2990
440	2354	2984
441	2358	2977
442	2362	2971
443	2367	2964
444	2371	2957
445	2375	2950
446	2379	2943
447	2383	2936
448	2387	2930
449	2393	2925
450	2397	2918
451	2402	2912
452	2406	2905
453	2410	2898
454	2414	2891
455	2421	2888
456	2425	2882
457	2430	2876
458	2435	2870
459	2439	2864
460	2443	2857
461	2449	2851
462	2452	2844
463	2456	2838
464	2460	2831
465	2464	2824
466	2469	2818
467	2473	2811
468	2477	2804
469	2480	2797
470	2485	2791
471	2490	2785
472	2494	2779
473	2499	2773
474	2503	2767
475	2508	2761
476	2512	2755
477	2516	2748
478	2520	2741
479	2527	2737
480	2530	2730
481	2534	2724
482	2538	2717
483	2543	2711
484	2547	2705
485	2552	2699
486	2556	2692
487	2560	2686
488	2565	2680
489	2569	2674
490	2573	2668
491	2578	2662
492	2582	2656
493	2587	2650
494	2591	2643
495	2595	2637
496	2599	2631
497	2603	2624
498	2607	2618
499	2611	2611
500	2615	2605
501	2620	2599
502	2624	2593
503	2628	2587
504	2633	2580
505	2637	2574
506	2641	2568
507	2645	2562
508	2649	2555
509	2657	2553
510	2661	2546
511	2665	2540
512	2669	2534
513	2673	2528
514	2678	2522
515	2682	2516
516	2687	2510
517	2691	2504
518	2696	2498
519	2700	2492
520	2704	2486
521	2708	2480
522	2712	2474
523	2716	2468
524	2721	2461
525	2725	2456
526	2729	2450
527	2733	2444
528	2738	2438
529	2742	2432
530	2747	2426
531	2751	2420
532	2758	2416
533	2762	2410
534	2766	2404
535	2770	2398
536	2775	2392
537	2779	2387
538	2785	2382
539	2791	2378
540	2796	2372
541	2800	2366
542	2804	2360
543	2809	2354
544	2813	2348
545	2817	2342
546	2822	2337
547	2826	2331
548	2831	2326
549	2837	2321
550	2842	2316
551	2847	2311
552	2852	2305
553	2856	2299
554	2861	2293
555	2866	2288
556	2870	2283
557	2875	2278
558	2880	2272
559	2885	2267
560	2891	2262
561	2895	2256
562	2900	2251
563	2905	2245
564	2909	2239
565	2913	2234
566	2918	2228
567	2922	2223
568	2927	2217
569	2933	2213
570	2938	2208
571	2944	2202
572	2948	2196
573	2952	2191
574	2957	2185
575	2960	2179
576	2964	2173
577	2967	2166
578	2971	2160
579	2976	2155
580	2981	2149
581	2985	2144
582	2989	2138
583	2993	2132
584	2998	2127
585	3004	2122
586	3008	2116
587	3012	2110
588	3017	2105
589	3022	2100
590	3028	2095
591	3033	2090
592	3038	2085
593	3044	2080
594	3049	2075
595	3055	2070
596	3060	2065
597	3065	2060
598	3074	2058
599	3079	2053
600	3084	2047
601	3089	2042
602	3093	2036
603	3101	2033
604	3112	2032
605	3121	2029
606	3129	2026
607	3138	2023
608	3149	2022
609	3156	2018
610	3163	2014
611	3169	2009
612	3175	2004
613	3180	1999
614	3185	1994
615	3191	1989
616	3196	1983
617	3202	1979
618	3208	1975
619	3213	1969
620	3217	1963
621	3222	1958
622	3227	1953
623	3234	1948
624	3240	1944
625	3246	1939
626	3251	1934
627	3255	1928
628	3259	1922
629	3264	1917
630	3267	1911
631	3271	1904
632	3276	1899
633	3281	1894
634	3286	1888
635	3290	1883
636	3294	1877
637	3299	1872
638	3303	1866
639	3308	1860
640	3312	1855
641	3317	1849
642	3322	1844
643	3327	1839
644	3331	1833
645	3337	1828
646	3341	1823
647	3347	1818
648	3353	1813
649	3358	1808
650	3363	1802
651	3368	1797
652	3372	1792
653	3377	1787
654	3382	1781
655	3387	1776
656	3391	1770
657	3396	1765
658	3401	1759
659	3405	1754
660	3410	1749
661	3415	1743
662	3419	1738
663	3425	1733
664	3429	1727
665	3434	1722
666	3439	1716
667	3444	1711
668	3448	1706
669	3453	1701
670	3459	1696
671	3463	1690
672	3467	1685
673	3472	1679
674	3476	1673
675	3481	1668
676	3488	1664
677	3493	1659
678	3498	1653
679	3503	1648
680	3507	1643
681	3512	1637
682	3517	1632
683	3521	1626
684	3525	1621
685	3531	1616
686	3535	1610
687	3541	1605
688	3545	1600
689	3550	1595
690	3554	1589
691	3559	1584
692	3563	1578
693	3568	1573
694	3572	1567
695	3576	1562
696	3580	1556
697	3585	1551
698	3590	1546
699	3595	1540
700	3599	1535
701	3603	1529
702	3608	1524
703	3612	1518
704	3617	1513
705	3622	1508
706	3628	1503
707	3632	1498
708	3636	1492
709	3641	1487
710	3645	1481
711	3650	1476
712	3654	1470
713	3658	1465
714	3662	1460
715	3667	1454
716	3671	1449
717	3675	1443
718	3680	1438
719	3685	1433
720	3688	1427
721	3693	1421
722	3697	1416
723	3701	1411
724	3706	1405
725	3710	1400
726	3714	1394
727	3718	1389
728	3721	1383
729	3725	1377
730	3729	1372
731	3734	1367
732	3740	1362
733	3744	1357
734	3748	1351
735	3752	1346
736	3759	1341
737	3762	1335
738	3766	1330
739	3770	1324
740	3774	1319
741	3778	1313
742	3784	1308
743	3788	1303
744	3792	1298
745	3800	1293
746	3804	1288
747	3810	1283
748	3815	1278
749	3820	1273
750	3826	1268
751	3833	1264
752	3842	1260
753	3848	1255
754	3855	1251
755	3861	1246
756	3866	1241
757	3872	1236
758	3878	1231
759	3882	1226
760	3888	1221
761	3893	1216
762	3898	1210
763	3905	1206
764	3911	1201
765	3918	1196
766	3922	1191
767	3927	1186
768	3933	1181
769	3938	1176
770	3942	1171
771	3948	1166
772	3954	1161
773	3959	1156
774	3964	1150
775	3970	1146
776	3975	1141
777	3980	1135
778	3985	1130
779	3990	1125
780	3995	1120
781	4000	1115
782	4005	1110
783	4009	1104
784	4014	1099
785	4019	1094
786	4024	1089
787	4029	1084
788	4035	1079
789	4039	1073
790	4044	1068
791	4049	1063
792	4062	1060
793	4069	1055
794	4076	1051
795	4082	1046
796	4088	1041
797	4094	1036
798	4099	1031
799	4104	1026
800	4111	1021
801	4117	1016
802	4121	1011
803	4126	1006
804	4131	1000
805	4137	995
806	4142	990
807	4146	985
808	4151	980
809	4154	974
810	4157	968
811	4161	963
812	4166	958
813	4170	953
814	4175	947
815	4179	942
816	4188	938
817	4192	932
818	4198	927
819	4202	922
820	4206	917
821	4211	911
822	4214	906
823	4218	900
824	4221	895
825	4225	890
826	4228	884
827	4232	879
828	4235	873
829	4239	868
830	4242	862
831	4246	857
832	4249	852
833	4253	846
834	4256	841
835	4260	835
836	4263	830
837	4268	825
838	4273	820
839	4278	814
840	4283	809
841	4287	804
842	4291	799
843	4294	793
844	4298	788
845	4302	783
846	4305	777
847	4308	772
848	4312	767
849	4319	762
850	4322	756
851	4326	751
852	4330	746
853	4333	740
854	4337	735
855	4341	730
856	4350	726
857	4357	721
858	4363	716
859	4367	710
860	4371	705
861	4378	700
862	4384	696
863	4389	690
864	4395	685
865	4400	680
866	4410	676
867	4416	671
868	4423	666
869	4428	661
870	4434	656
871	4438	651
872	4443	646
873	4448	641
874	4458	636
875	4462	631
876	4479	628
877	4531	629
878	4552	626
879	4564	622
880	4572	617
881	4579	612
882	4586	607
883	4594	602
884	4599	597
885	4605	592
886	4610	587
887	4618	582
888	4624	577
889	4629	572
890	4634	566
891	4638	561
892	4642	556
893	4645	550
894	4649	545
895	4653	540
896	4656	534
897	4660	529
898	4663	523
899	4667	518
900	4670	513
901	4674	507
902	4678	502
903	4681	497
904	4685	491
905	4690	486
906	4694	481
907	4699	476
908	4705	471
909	4711	465
910	4716	460
911	4723	455
912	4730	450
913	4738	445
914	4744	440
915	4757	436
916	4763	431
917	4769	426
918	4775	420
919	4782	415
920	4789	410
921	4795	405
922	4800	400
923	4805	395
924	4811	390
925	4815	384
926	4820	379
927	4825	374
928	4830	369
929	4835	363
930	4841	358
931	4846	353
932	4851	348
933	4858	343
934	4862	338
935	4868	332
936	4872	327
937	4876	322
938	4879	316
939	4883	311
940	4889	306
941	4893	301
942	4896	295
943	4901	290
944	4905	285
945	4910	280
946	4914	275
947	4919	269
948	4923	264
949	4927	259
950	4932	254
951	4936	248
952	4940	243
953	4944	238
954	4948	233
955	4952	227
956	4956	222
957	4961	217
958	4965	212
959	4970	207
960	4974	201
961	4978	196
962	4982	191
963	4987	186
964	4991	181
965	4996	175
966	5001	170
967	5005	165
968	5010	160
969	5014	155
970	5025	150
971	5035	145
972	5044	139
973	5052	134
974	5057	129
975	5063	124
976	5077	119
977	5086	114
978	5092	109
979	5100	104
980	5106	98
981	5112	93
982	5118	88
983	5125	83
984	5131	78
985	5138	72
986	5144	67
987	5150	62
988	5157	57
989	5164	52
990	5177	47
991	5183	41
992	5188	36
993	5192	31
994	5198	26
995	5202	20
996	5207	15
997	5212	10
998	5217	5
999	5221	0
