Date,Action,Price
2025-04-15,BUY,47.16999816894531
2025-04-16,SELL,44.619998931884766
2025-04-17,BUY,44.779998779296875
2025-04-25,SELL,49.84000015258789
2025-04-28,BUY,48.599998474121094
2025-05-06,SELL,54.689998626708984
2025-05-07,BUY,58.08000183105469
2025-06-09,SELL,67.61000061035156
2025-06-11,BUY,67.93000030517578
2025-06-23,SELL,66.52999877929688
2025-06-25,BUY,70.16000366210938
2025-06-26,SELL,70.91999816894531
2025-07-09,BUY,74.37000274658203
2025-07-14,SELL,71.45999908447266
2025-07-15,BUY,71.75
2025-07-31,SELL,67.69000244140625
2025-08-01,BUY,68.75
2025-08-04,FINAL SELL,70.36000061035156
