Date,Action,Price
2025-04-15,BUY,95.29000091552734
2025-04-16,SELL,88.29000091552734
2025-04-17,BUY,87.5
2025-04-25,SELL,96.6500015258789
2025-04-28,BUY,96.38999938964844
2025-05-01,SELL,96.6500015258789
2025-05-02,BUY,98.80000305175781
2025-05-06,SELL,98.62000274658203
2025-05-08,BUY,101.69999694824219
2025-05-13,SELL,112.45999908447266
2025-05-14,BUY,117.72000122070312
2025-05-22,SELL,110.70999908447266
2025-05-23,BUY,110.30999755859375
2025-06-09,SELL,121.7300033569336
2025-06-10,BUY,123.23999786376953
2025-06-13,SELL,116.16000366210938
2025-06-16,BUY,126.38999938964844
2025-06-24,SELL,138.42999267578125
2025-06-27,BUY,143.80999755859375
2025-06-30,SELL,141.89999389648438
2025-07-03,BUY,137.91000366210938
2025-07-07,SELL,134.8000030517578
2025-07-11,BUY,146.4199981689453
2025-07-14,SELL,146.24000549316406
2025-07-17,BUY,160.41000366210938
2025-07-18,SELL,156.99000549316406
2025-07-22,BUY,154.72000122070312
2025-07-23,SELL,158.64999389648438
2025-07-30,BUY,179.50999450683594
2025-08-04,SELL,176.87100219726562
