Date,Action,Price
2025-04-15,BUY,53.276390075683594
2025-04-21,SELL,49.33961486816406
2025-04-22,BUY,50.57859802246094
2025-04-24,SELL,57.283111572265625
2025-04-25,BUY,58.87180709838867
2025-05-13,SELL,65.42644500732422
2025-05-14,BUY,65.84609985351562
2025-05-19,SELL,62.50883483886719
2025-05-20,BUY,61.3697624206543
2025-06-06,SELL,68.29409790039062
2025-06-09,BUY,69.08345031738281
2025-06-16,SELL,70.3624038696289
2025-06-17,BUY,69.93275451660156
2025-06-18,SELL,74.8886947631836
2025-07-14,BUY,72.51000213623047
2025-07-30,SELL,81.73999786376953
2025-07-31,BUY,80.37000274658203
2025-08-01,SELL,74.44999694824219
2025-08-04,BUY,76.70500183105469
2025-08-04,FINAL SELL,76.70500183105469
